"grass_date","is_cb_shop","shipping_channel_id","orders","gmv"
"2022-05-03","1","100007","412.0","2193.2836837252"
"2021-11-20","0","100008","4.0","12.3285263128"
"2022-05-10","1","108002","707.0","13424.9477421813"
"2022-01-02","0","100003","11907.0","79216.7742650010"
"2021-12-25","0","100003","11809.0","57032.8516841574"
"2021-12-20","1","108001","2214.0","4415.6972525780"
"2021-07-21","1","108001","186.0","948.1065748883"
"2022-02-23","1","100003","1.0","10.7285121440"
"2022-01-20","0","100009","184.0","475.6053307406"
"2021-09-05","1","100001","45216.99999999999","207227.1765090537"
"2022-05-08","1","108005","143.0","5166.6467389075"
"2022-05-22","0","100008","62.0","289.5778733639"
"2021-11-12","0","100008","4.0","9.3388390129"
"2022-04-07","1","108005","60.0","1743.6449035038"
"2021-08-28","1","100001","37035.99999999996","185447.8380024605"
"2022-04-20","1","108001","1706.9999999999998","9774.5631788652"
"2021-08-10","1","108002","196.0","3360.4062435758"
"2021-09-10","0","100004","314.0","3084.6981774265"
"2021-12-28","1","108001","1395.0000000000002","4938.7503922645"
"2022-01-09","1","108002","378.99999999999994","7382.9826604501"
"2022-02-09","0","100007","12044.0","44949.0879707488"
"2022-01-28","1","108001","1629.0","7345.4794677353"
"2022-01-28","1","108004","8.0","116.1802255771"
"2021-12-07","1","108005","10.0","408.1630964524"
"2022-03-25","1","100007","1.0","15.9599721933"
"2022-04-19","0","100011","2462.0000000000005","3555.4183280792"
"2021-07-28","1","100001","33765.99999999995","151854.5413555980"
"2022-02-28","1","108004","14.0","297.6296142490"
"2022-04-21","0","100008","8.0","229.3135476623"
"2021-12-27","1","100001","62637.00000000006","327017.9573983717"
"2022-01-04","1","100001","85679.99999999983","453149.7975546824"
"2022-02-02","0","100003","87006.00000000001","231964.5183202731"
"2021-03-29","1","100001","7913.0","41625.2902813463"
"2021-12-09","1","108002","736.0","14143.1294768647"
"2021-12-01","1","108002","818.0","14358.6077761289"
"2022-01-20","1","108004","10.999999999999996","121.2209171031"
"2021-08-25","1","100001","40320.99999999994","185286.2437290540"
"2022-01-06","1","108002","508.0","8845.3433880449"
"2021-12-04","1","108005","6.0","247.1454917033"
"2022-01-04","1","108005","37.0","1217.0381505935"
"2022-04-27","1","108005","133.0","5340.2510650071"
"2022-02-25","0","100009","573.0000000000001","1514.2609555962"
"2021-12-22","0","100003","11763.000000000004","70093.1955825217"
"2022-02-17","1","108004","15.0","224.0856659034"
"2022-01-17","1","108001","4641.0","11710.7139491903"
"2022-03-22","1","100007","3.0","35.1448409218"
"2022-05-18","1","108001","1708.0","8515.2287998413"
"2022-03-09","0","100007","13850.000000000007","61952.0804044801"
"2022-04-16","0","100011","567.0","1737.4284785881"
"2022-02-17","0","100009","561.0000000000001","1366.3894754012"
"2022-03-15","1","100003","8.0","33.3096896577"
"2021-07-18","1","108001","221.0","1082.7010484408"
"2021-10-26","1","108005","1.0","10.7101936618"
"2022-02-01","1","100001","81497.99999999991","367344.6334308260"
"2021-12-24","1","100001","35166.999999999985","183780.0330521788"
"2022-01-29","0","100007","8261.999999999998","36221.2402680541"
"2021-10-08","0","100004","828.0","4838.6404466546"
"2021-12-10","0","100008","13.999999999999998","44.3247843297"
"2022-02-12","1","100003","1.0","9.5067752588"
"2022-02-25","1","108004","5.0","63.9948951288"
"2022-04-30","1","100007","25.0","59.7622659492"
"2021-08-18","1","108001","268.0","964.9195535208"
"2021-12-17","1","108001","1398.0","3622.5479162130"
"2021-11-26","1","108005","28.0","792.2691013604"
"2021-11-09","0","100008","1.0","6.9824933648"
"2022-03-23","1","100003","3.0","12.7041378659"
"2022-04-08","0","100011","284.0","709.2942835781"
"2022-01-24","1","100001","123455.9999999998","452564.2426569480"
"2022-01-25","1","108001","3987.9999999999995","9295.2293653190"
"2022-05-07","1","108002","448.0","9281.2510356993"
"2022-04-10","0","100008","4.0","12.9090271722"
"2022-04-29","1","100011","2.0","0.9418064571"
"2022-04-29","1","108002","547.0","9461.1837356911"
"2021-12-29","1","108002","473.0","8527.2169942048"
"2022-05-19","0","100008","17.0","90.6422992052"
"2022-01-30","0","100003","16948.000000000007","98104.5836662191"
"2021-07-17","1","100001","31132.99999999999","125289.4249216813"
"2022-03-27","1","108005","95.0","3334.6436879735"
"2022-05-05","1","108005","332.0","11676.5973060095"
"2021-08-23","0","100003","120.99999999999999","4505.8238837746"
"2021-12-18","0","100008","3.0","5.7912263587"
"2021-08-30","0","100004","151.0","1701.2803076045"
"2022-04-22","1","100007","139.0","994.8931988978"
"2022-05-23","0","100003","25715.000000000004","172921.3731128680"
"2021-03-26","1","100001","5153.0","33950.8170310351"
"2021-03-18","1","100001","2461.0","11808.7777419669"
"2022-04-29","0","100007","12728.999999999993","68173.8613898890"
"2022-05-02","1","100001","54732.999999999935","318064.6711338560"
"2022-03-22","0","100003","19662.999999999996","132954.6063033441"
"2022-02-06","0","100007","8795.000000000002","43294.9772969763"
"2022-01-25","0","100009","142.0","253.7973825977"
"2022-04-17","1","108001","1424.0","6975.9317969383"
"2021-06-16","1","100001","35609.0","124733.9338635809"
"2021-10-28","1","108002","559.0","11174.9532644536"
"2021-11-21","0","100003","9085.0","53835.7879829875"
"2022-05-07","1","100011","7.0","5.9881041545"
"2022-05-18","1","108004","23.0","318.4165829721"
"2022-05-18","0","100009","39.0","123.5851820769"
"2021-11-16","1","108004","7.0","63.2623733345"
"2022-01-06","0","100007","13909.000000000005","40304.2495604157"
"2021-12-30","0","100003","12929.000000000005","79470.2344800726"
"2021-11-28","0","100004","1532.0000000000002","8176.3886003414"
"2022-04-25","1","108001","2434.0","10393.4410287651"
"2022-04-18","0","100008","4.0","24.7361070863"
"2021-05-09","1","108001","7.0","73.2304346401"
"2021-07-25","1","100001","88370.00000000033","208118.6091483343"
"2022-03-18","0","100008","7.0","26.0422549350"
"2021-05-16","1","100001","20829.0","92577.0125082925"
"2022-01-25","1","108004","10.0","203.6445216925"
"2022-04-24","1","100001","40386.00000000001","265996.1833481577"
"2022-03-30","0","100003","19326.000000000004","126934.8092591777"
"2022-03-17","1","108001","1335.0","6140.6793467687"
"2021-12-29","0","100007","19040.0","53949.0004354155"
"2021-06-09","1","108001","27.000000000000004","273.8911092210"
"2022-04-06","1","108002","545.0","10489.9603682813"
"2021-06-24","1","100001","29064.999999999993","113100.6133309480"
"2022-04-04","1","108005","137.00000000000003","4161.3605290880"
"2022-02-24","1","108005","30.0","1435.2583464254"
"2022-03-10","0","100008","9.0","50.2660551918"
"2021-06-17","1","108001","26.0","241.3405876599"
"2021-12-17","1","108004","7.0","139.4656379039"
